       latitude      longitude observation     resiual  prediction  correction
       35.91163      137.20067     0.03160     0.00715     0.02445     0.00000
       36.47280      137.23922     0.00000    -0.02078     0.02078     0.00000
       35.80048      137.24837     0.04240     0.01745     0.02495     0.00000
       35.30055      137.25232     0.02410     0.00092     0.02318     0.00000
       35.13875      137.25356     0.01230    -0.00979     0.02209     0.00000
       37.44603      137.27005    -0.00440     0.00049    -0.00489     0.00000
       34.64866      137.27784     0.03020     0.01211     0.01809     0.00000
       34.91975      137.29994     0.01150    -0.00902     0.02052     0.00000
       35.52313      137.30909     0.01540    -0.00935     0.02475     0.00000
       35.03946      137.31316     0.01370    -0.00788     0.02158     0.00000
       34.78591      137.33877     0.01540    -0.00405     0.01945     0.00000
       36.13599      137.34791     0.01310    -0.01203     0.02513     0.00000
       36.28564      137.36302     0.02830     0.00409     0.02421     0.00000
       36.73696      137.36951     0.02730     0.00981     0.01749     0.00000
       35.26197      137.40561     0.02780     0.00402     0.02378     0.00000
       34.96748      137.42313     0.01120    -0.01016     0.02136     0.00000
       35.65719      137.42477     0.03160     0.00539     0.02621     0.00000
       34.86482      137.43400     0.00090    -0.01953     0.02043     0.00000
       36.57871      137.43990     0.03120     0.00993     0.02127     0.00000
       34.68038      137.44245     0.02620     0.00755     0.01865     0.00000
       35.81555      137.45088     0.02850     0.00166     0.02684     0.00000
       35.39676      137.46757     0.03940     0.01426     0.02514     0.00000
       36.92896      137.48723     0.00520    -0.00858     0.01378     0.00000
       34.71805      137.51493     0.01060    -0.00854     0.01914     0.00000
       35.57509      137.52878     0.01500    -0.01171     0.02671     0.00000
       35.97346      137.53487     0.01650    -0.01122     0.02772     0.00000
       36.86434      137.55133     0.01140    -0.00476     0.01616     0.00000
       34.80873      137.55434     0.01760    -0.00256     0.02016     0.00000
       35.10002      137.57533     0.02070    -0.00250     0.02320     0.00000
       34.93768      137.57549     0.01730    -0.00426     0.02156     0.00000
       35.24700      137.58767     0.03360     0.00894     0.02466     0.00000
       35.88000      137.59827     0.02830    -0.00012     0.02842     0.00000
       35.66123      137.62016     0.02380    -0.00415     0.02795     0.00000
       34.70212      137.63688     0.00810    -0.01105     0.01915     0.00000
       34.83533      137.67234     0.01380    -0.00689     0.02069     0.00000
       35.34373      137.67640    -0.00910    -0.03517     0.02607     0.00000
       34.75204      137.68078     0.01330    -0.00646     0.01976     0.00000
       36.08466      137.68263     0.02880    -0.00041     0.02921     0.00000
       35.07929      137.69524     0.01590    -0.00758     0.02348     0.00000
       35.78362      137.69626     0.02640    -0.00283     0.02923     0.00000
       34.67231      137.72338     0.01510    -0.00379     0.01889     0.00000
       35.94460      137.78544     0.03190     0.00128     0.03062     0.00000
       34.79284      137.79179     0.01340    -0.00699     0.02039     0.00000
       35.77753      137.81448     0.04040     0.00995     0.03045     0.00000
       35.52109      137.81524     0.03170     0.00302     0.02868     0.00000
       34.94134      137.81794     0.01770    -0.00457     0.02227     0.00000
       34.67188      137.82342     0.02360     0.00466     0.01894     0.00000
       36.49977      137.85112     0.02620    -0.00162     0.02782     0.00000
       35.16045      137.86876     0.02620     0.00106     0.02514     0.00000
       36.22837      137.87175     0.04490     0.01380     0.03110     0.00000
       36.70647      137.87233     0.05560     0.03161     0.02399     0.00000
       37.04517      137.87385     0.00900    -0.00434     0.01334     0.00000
       36.95087      137.89387     0.02470     0.00767     0.01703     0.00000
       36.32237      137.90282     0.04690     0.01607     0.03083     0.00000
       34.75539      137.91128     0.02600     0.00595     0.02005     0.00000
       35.31714      137.92527     0.02630    -0.00103     0.02733     0.00000
       34.84386      137.93215     0.01640    -0.00483     0.02123     0.00000
       34.67042      137.93744     0.01870    -0.00025     0.01895     0.00000
       35.92358      137.94381     0.02710    -0.00545     0.03255     0.00000
       34.90205      137.94681     0.02250     0.00047     0.02203     0.00000
       35.03152      137.98042     0.01600    -0.00787     0.02387     0.00000
       36.12111      137.98301     0.03990     0.00672     0.03318     0.00000
       35.72629      137.98389     0.02640    -0.00557     0.03197     0.00000
       36.23903      137.98455     0.04250     0.00978     0.03272     0.00000
       34.78595      138.01753    -0.00200    -0.02252     0.02052     0.00000
       35.55613      138.03832     0.03450     0.00358     0.03092     0.00000
       34.66641      138.04652    -0.00310    -0.02196     0.01886     0.00000
       34.71525      138.05354     0.00720    -0.01234     0.01954     0.00000
       34.93980      138.07486     0.01360    -0.00918     0.02278     0.00000
       35.04488      138.08168     0.02260    -0.00174     0.02434     0.00000
       35.87842      138.09571     0.03440     0.00008     0.03432     0.00000
       36.70665      138.09673     0.04940     0.02206     0.02734     0.00000
       34.67992      138.09829     0.02810     0.00908     0.01902     0.00000
       37.16079      138.10019     0.01660     0.00633     0.01027     0.00000
       36.52360      138.12095     0.02800    -0.00374     0.03174     0.00000
       34.64290      138.12929     0.01550    -0.00297     0.01847     0.00000
       35.10391      138.13490     0.02210    -0.00328     0.02538     0.00000
       34.75776      138.13692     0.00810    -0.01203     0.02013     0.00000
       34.63454      138.15904     0.03180     0.01349     0.01831     0.00000
       34.84941      138.17674     0.02960     0.00808     0.02152     0.00000
       34.67775      138.18296     0.00960    -0.00931     0.01891     0.00000
       35.32207      138.18578     0.03160     0.00267     0.02893     0.00000
       36.86540      138.19867     0.03120     0.00713     0.02407     0.00000
       35.06697      138.20998     0.01260    -0.01241     0.02501     0.00000
       36.02616      138.21448     0.02780    -0.00887     0.03667     0.00000
       34.60315      138.21525     0.02390     0.00613     0.01777     0.00000
       36.20847      138.21649     0.03540    -0.00128     0.03668     0.00000
       34.73831      138.22560     0.02390     0.00411     0.01979     0.00000
       37.05668      138.24259     0.00990    -0.00684     0.01674     0.00000
       36.66515      138.24747     0.03330     0.00229     0.03101     0.00000
       34.95435      138.24990     0.05080     0.02756     0.02324     0.00000
       35.20098      138.25351     0.03890     0.01157     0.02733     0.00000
       37.81590      138.27307    -0.01410     0.02018    -0.03428     0.00000
       35.85598      138.31640     0.05220     0.01508     0.03712     0.00000
       36.38618      138.32252     0.02820    -0.00924     0.03744     0.00000
       34.83617      138.33122     0.01000    -0.01129     0.02129     0.00000
       37.23112      138.33357     0.01080     0.00253     0.00827     0.00000
       36.13311      138.36204     0.04810     0.00873     0.03937     0.00000
       36.26099      138.36604     0.04120     0.00197     0.03923     0.00000
       35.10346      138.36870     0.02460    -0.00139     0.02599     0.00000
       38.02369      138.36988    -0.03910     0.01602    -0.05512     0.00000
       34.99052      138.37830     0.04000     0.01603     0.02397     0.00000
       36.80171      138.43617     0.05280     0.02232     0.03048     0.00000
       35.90493      138.44421     0.04480     0.00535     0.03945     0.00000
       35.44358      138.44525     0.02740    -0.00517     0.03257     0.00000
       35.28946      138.44570     0.02240    -0.00729     0.02969     0.00000
       35.67369      138.45682     0.03480    -0.00181     0.03661     0.00000
       37.10708      138.45736     0.02220     0.00543     0.01677     0.00000
       36.13064      138.46097     0.05450     0.01330     0.04120     0.00000
       38.06328      138.47168    -0.04290     0.01968    -0.06258     0.00000
       36.28471      138.49928     0.04740     0.00556     0.04184     0.00000
       38.31935      138.51309    -0.06960     0.02082    -0.09042     0.00000
       34.98650      138.51568     0.03190     0.00797     0.02393     0.00000
       37.34854      138.51637     0.01870     0.01731     0.00139     0.00000
       35.06741      138.52471     0.04410     0.01857     0.02553     0.00000
       36.50800      138.55271     0.05360     0.01286     0.04074     0.00000
       35.36208      138.56343     0.03950     0.00781     0.03169     0.00000
       37.39768      138.57440     0.01040     0.01270    -0.00230     0.00000
       35.97415      138.58303     0.04840     0.00597     0.04243     0.00000
       35.59034      138.58330     0.04560     0.00915     0.03645     0.00000
       36.61632      138.59145     0.04730     0.00787     0.03943     0.00000
       35.46769      138.60687     0.04480     0.01064     0.03416     0.00000
       37.07913      138.60872     0.02840     0.00791     0.02049     0.00000
       35.11715      138.60997     0.01790    -0.00873     0.02663     0.00000
       35.20318      138.61699     0.03140     0.00291     0.02849     0.00000
       36.85669      138.62425     0.02770    -0.00448     0.03218     0.00000
       37.21211      138.63460     0.04230     0.03015     0.01215     0.00000
       36.34601      138.63780     0.04410    -0.00054     0.04464     0.00000
       35.64952      138.69038     0.02640    -0.01231     0.03871     0.00000
       35.74687      138.69513     0.03190    -0.00882     0.04072     0.00000
       37.53583      138.70694     0.00810     0.02311    -0.01501     0.00000
       35.17359      138.72154     0.03230     0.00432     0.02798     0.00000
       35.36077      138.72730     0.01950    -0.01293     0.03243     0.00000
       34.69025      138.76279     0.00240    -0.01501     0.01741     0.00000
       35.30554      138.77067     0.03070    -0.00054     0.03124     0.00000
       34.85503      138.77652     0.02070    -0.00000     0.02070     0.00000
       37.49866      138.77954     0.00610     0.01794    -0.01184     0.00000
       37.66752      138.78051    -0.00510     0.02452    -0.02962     0.00000
       34.77607      138.78606     0.02520     0.00619     0.01901     0.00000
       37.31131      138.78998     0.01770     0.01206     0.00564     0.00000
       34.97057      138.79466     0.01690    -0.00629     0.02319     0.00000
       35.49659      138.81404     0.04210     0.00587     0.03623     0.00000
       36.99346      138.83084     0.04340     0.01376     0.02964     0.00000
       34.61000      138.83842     0.01430    -0.00114     0.01544     0.00000
       36.59138      138.84789     0.05310     0.00635     0.04675     0.00000
       36.25903      138.86541     0.06910     0.01858     0.05052     0.00000
       34.71947      138.87647     0.00740    -0.00995     0.01735     0.00000
       37.77699      138.88044    -0.04830    -0.00350    -0.04480     0.00000
       35.32160      138.88165     0.03920     0.00728     0.03192     0.00000
       35.11002      138.90186     0.02640     0.00008     0.02632     0.00000
       36.69703      138.90626     0.04740     0.00193     0.04547     0.00000
       35.04724      138.90689     0.02560     0.00089     0.02471     0.00000
       36.14275      138.91242     0.05660     0.00563     0.05097     0.00000
       37.58974      138.92028    -0.03150    -0.00842    -0.02308     0.00000
       34.86559      138.92225     0.00740    -0.01287     0.02027     0.00000
       34.91611      138.92482     0.03010     0.00867     0.02143     0.00000
       35.92993      138.92605     0.04500    -0.00293     0.04793     0.00000
       35.20439      138.92835     0.04040     0.01162     0.02878     0.00000
       37.16604      138.93372     0.03020     0.01084     0.01936     0.00000
       34.69890      138.93933     0.01500    -0.00152     0.01652     0.00000
       36.77806      138.94482     0.05030     0.00674     0.04356     0.00000
       35.75387      138.94999     0.05520     0.01101     0.04419     0.00000
       35.11417      138.97387     0.03180     0.00554     0.02626     0.00000
       35.62335      138.97585     0.03370    -0.00720     0.04090     0.00000
       37.89647      138.98886    -0.04770     0.01683    -0.06453     0.00000
       34.75135      138.98982     0.02340     0.00612     0.01728     0.00000
       35.01483      138.99793     0.01920    -0.00434     0.02354     0.00000
       37.46772      138.99801     0.00330     0.01307    -0.00977     0.00000
       34.92182      139.01369     0.01360    -0.00749     0.02109     0.00000
       36.39535      139.01671     0.06380     0.00912     0.05468     0.00000
       37.31987      139.02025     0.02430     0.01810     0.00620     0.00000
       35.51187      139.02578     0.03050    -0.00744     0.03794     0.00000
       35.41535      139.04518     0.04480     0.00977     0.03503     0.00000
       35.24552      139.04934     0.01130    -0.01853     0.02983     0.00000
       36.53926      139.05673     0.07230     0.01798     0.05432     0.00000
       37.66230      139.05912    -0.03410     0.00071    -0.03481     0.00000
       36.83735      139.06085     0.06840     0.02413     0.04427     0.00000
       36.23467      139.06664     0.07310     0.01719     0.05591     0.00000
       34.94976      139.06990     0.02160     0.00014     0.02146     0.00000
       37.75206      139.07391    -0.03950     0.00811    -0.04761     0.00000
       35.98689      139.07569     0.05790     0.00580     0.05210     0.00000
       35.00685      139.08197     0.02070    -0.00220     0.02290     0.00000
       34.97186      139.10169     0.01840    -0.00344     0.02184     0.00000
       35.14860      139.11044     0.03420     0.00742     0.02678     0.00000
       37.54034      139.11145    -0.01260     0.00706    -0.01966     0.00000
       34.87847      139.12436     0.00040    -0.01885     0.01925     0.00000
       34.93931      139.13116     0.02930     0.00853     0.02077     0.00000
       34.20048      139.13445     0.00420    -0.00200     0.00620     0.00000
       34.23991      139.13757     0.01350     0.00678     0.00672     0.00000
       35.26860      139.14241     0.01560    -0.01479     0.03039     0.00000
       35.61027      139.15723     0.04320     0.00122     0.04198     0.00000
       35.33621      139.16260     0.02760    -0.00497     0.03257     0.00000
       35.04063      139.17103     0.02400     0.00071     0.02329     0.00000
       35.88405      139.18220     0.05650     0.00511     0.05139     0.00000
       35.42852      139.20487     0.03790     0.00214     0.03576     0.00000
       34.33312      139.21094     0.00570    -0.00163     0.00733     0.00000
       36.76969      139.22490     0.06870     0.01570     0.05300     0.00000
       37.82816      139.22604    -0.06390     0.00149    -0.06539     0.00000
       37.15762      139.24711     0.04140     0.01609     0.02531     0.00000
       38.46539      139.25335    -0.14620     0.02830    -0.17450     0.00000
       36.26769      139.25464     0.07850     0.01646     0.06204     0.00000
       34.37183      139.25791     0.02310     0.01568     0.00742     0.00000
       35.30490      139.26269     0.05340     0.02211     0.03129     0.00000
       35.72376      139.26813     0.03090    -0.01616     0.04706     0.00000
       36.00374      139.26933     0.06310     0.00631     0.05679     0.00000
       34.51963      139.27093     0.01110     0.00125     0.00985     0.00000
       35.48264      139.32258     0.02570    -0.01219     0.03789     0.00000
       36.42163      139.33039     0.08270     0.01715     0.06555     0.00000
       36.12095      139.34517     0.06080    -0.00126     0.06206     0.00000
       37.92938      139.35146    -0.06940     0.02095    -0.09035     0.00000
       34.73761      139.35859    -0.00260    -0.01602     0.01342     0.00000
       37.30280      139.36435     0.02090     0.01062     0.01028     0.00000
       35.80080      139.36597     0.05570     0.00446     0.05124     0.00000
       35.39149      139.36606     0.04030     0.00609     0.03421     0.00000
       35.61643      139.36990     0.04960     0.00608     0.04352     0.00000
       34.78442      139.38139     0.01670     0.00243     0.01427     0.00000
       37.03693      139.40223     0.04300     0.00243     0.04057     0.00000
       34.68679      139.43322     0.01820     0.00693     0.01127     0.00000
       34.76154      139.43402     0.00890    -0.00412     0.01302     0.00000
       42.06050      139.44615    -0.09910     0.03938    -0.13848     0.00000
       38.05618      139.46168    -0.08290     0.04131    -0.12421     0.00000
       35.92550      139.46429     0.07700     0.01893     0.05807     0.00000
       35.32668      139.46607     0.04150     0.01040     0.03110     0.00000
       35.52141      139.46784     0.03030    -0.00923     0.03953     0.00000
       37.68591      139.47789    -0.02430     0.02798    -0.05228     0.00000
       34.07578      139.47881    -0.00370    -0.00453     0.00083     0.00000
       35.71037      139.48826     0.07930     0.03085     0.04845     0.00000
       36.62417      139.49059     0.08740     0.01787     0.06953     0.00000
       37.28149      139.50377     0.00270    -0.01138     0.01408     0.00000
       34.12107      139.50385     0.02640     0.02540     0.00100     0.00000
       36.87225      139.50531     0.08300     0.02524     0.05776     0.00000
       38.23069      139.50957    -0.14300     0.02271    -0.16571     0.00000
       42.15355      139.51960    -0.08960     0.04451    -0.13411     0.00000
       35.41927      139.52192     0.03850     0.00378     0.03472     0.00000
       37.47346      139.52863     0.00030     0.01609    -0.01579     0.00000
       38.51120      139.53382    -0.21050     0.01479    -0.22529     0.00000
       36.29516      139.54230     0.08500     0.01200     0.07300     0.00000
       34.05911      139.54715     0.00820     0.00839    -0.00019     0.00000
       39.18556      139.54766    -0.26330     0.05202    -0.31532     0.00000
       34.09376      139.56176     0.03810     0.03813    -0.00003     0.00000
       37.09725      139.58616     0.03280    -0.00643     0.03923     0.00000
       35.16087      139.61384     0.01450    -0.00837     0.02287     0.00000
       36.66598      139.61925     0.07530     0.00093     0.07437     0.00000
       35.66370      139.63065     0.06270     0.01603     0.04667     0.00000
       36.08723      139.63672     0.10290     0.03350     0.06940     0.00000
       35.75803      139.64454     0.08320     0.03120     0.05200     0.00000
       35.93747      139.65186     0.06440     0.00223     0.06217     0.00000
       35.43648      139.65375     0.06040     0.02583     0.03457     0.00000
       35.26709      139.66484     0.01750    -0.00901     0.02651     0.00000
       35.56340      139.67335     0.05060     0.00952     0.04108     0.00000
       38.70117      139.67453    -0.26140     0.02698    -0.28838     0.00000
       37.32621      139.68635     0.01460     0.00685     0.00775     0.00000
       36.40185      139.72642     0.08370     0.00051     0.08319     0.00000
       38.14618      139.74225    -0.15330     0.02657    -0.17987     0.00000
       36.53763      139.75279     0.09040     0.00565     0.08475     0.00000
       39.96790      139.77615    -0.27850     0.07159    -0.35009     0.00000
       37.64370      139.79151    -0.03460     0.02479    -0.05939     0.00000
       35.89597      139.79599     0.08120     0.01929     0.06191     0.00000
       36.01090      139.79993     0.12640     0.05688     0.06952     0.00000
       36.97958      139.80575     0.06190     0.00203     0.05987     0.00000
       38.89460      139.80885    -0.30980     0.04295    -0.35275     0.00000
       36.20367      139.81053     0.08670     0.00583     0.08087     0.00000
       35.78021      139.81281     0.04330    -0.01089     0.05419     0.00000
       35.31170      139.82552    -0.00800    -0.03395     0.02595     0.00000
       38.59404      139.83177    -0.27370     0.03265    -0.30635     0.00000
       37.46129      139.83552    -0.01910     0.00123    -0.02033     0.00000
       39.89113      139.84893    -0.28420     0.08678    -0.37098     0.00000
       36.77637      139.85426     0.07560    -0.00550     0.08110     0.00000
       42.45073      139.85767    -0.06980     0.05034    -0.12014     0.00000
       34.95408      139.86408     0.00480    -0.00602     0.01082     0.00000
       37.26107      139.87143     0.00960    -0.00951     0.01911     0.00000
       37.92058      139.87941    -0.11570     0.02334    -0.13904     0.00000
       35.67546      139.90235    -0.01130    -0.05792     0.04662     0.00000
       36.45658      139.90251     0.09490     0.00132     0.09358     0.00000
       39.20606      139.90772    -0.35530     0.05470    -0.41000     0.00000
       36.59895      139.92347     0.08470    -0.00915     0.09385     0.00000
       39.01597      139.92750    -0.37870     0.02399    -0.40269     0.00000
       40.57764      139.92812    -0.23570     0.06608    -0.30178     0.00000
       36.11481      139.93150     0.08940     0.00942     0.07998     0.00000
       38.75972      139.95737    -0.36140     0.01445    -0.37585     0.00000
       35.14380      139.96847    -0.01050    -0.02558     0.01508     0.00000
       37.66929      139.97266    -0.05320     0.02558    -0.07878     0.00000
       35.00279      139.97489     0.01500     0.00532     0.00968     0.00000
       36.30070      139.98777     0.11460     0.02087     0.09373     0.00000
       35.94029      139.99272     0.08170     0.01419     0.06751     0.00000
       42.13085      140.00395    -0.08930     0.05262    -0.14192     0.00000
       40.09970      140.00550    -0.33060     0.04712    -0.37772     0.00000
       40.73063      140.01099    -0.22420     0.06518    -0.28938     0.00000
       42.68534      140.01178    -0.06970     0.03806    -0.10776     0.00000
       35.78647      140.02475     0.06710     0.01279     0.05431     0.00000
       40.33940      140.02757    -0.27280     0.07462    -0.34742     0.00000
       37.12470      140.03541     0.02730    -0.01780     0.04510     0.00000
       36.85423      140.03926     0.07250    -0.01186     0.08436     0.00000
       41.46638      140.04065    -0.15160     0.04923    -0.20083     0.00000
       39.82581      140.04472    -0.36860     0.05225    -0.42085     0.00000
       35.65721      140.04809     0.01960    -0.02374     0.04334     0.00000
       39.39870      140.04824    -0.42810     0.02733    -0.45543     0.00000
       40.24730      140.04868    -0.29780     0.06640    -0.36420     0.00000
       35.44778      140.05133     0.05220     0.02382     0.02838     0.00000
       39.52756      140.05393    -0.42480     0.02627    -0.45107     0.00000
       41.80303      140.07123    -0.11130     0.05774    -0.16904     0.00000
       37.56695      140.07268    -0.03110     0.02722    -0.05832     0.00000
       38.19754      140.07757    -0.23150     0.02934    -0.26084     0.00000
       36.36491      140.07795     0.10120    -0.00059     0.10179     0.00000
       35.11186      140.07927    -0.00830    -0.01893     0.01063     0.00000
       36.10364      140.08631     0.09070     0.00706     0.08364     0.00000
       36.10558      140.08712     0.09330     0.00946     0.08384     0.00000
       36.10611      140.08719     0.09150     0.00761     0.08389     0.00000
       36.10568      140.08750     0.08290    -0.00096     0.08386     0.00000
       37.96361      140.09353    -0.16500     0.02021    -0.18521     0.00000
       38.43434      140.09463    -0.29680     0.04433    -0.34113     0.00000
       42.00807      140.10732    -0.09440     0.05790    -0.15230     0.00000
       39.93605      140.13238    -0.36800     0.05877    -0.42677     0.00000
       37.42451      140.13588    -0.00720     0.01620    -0.02340     0.00000
       35.87365      140.14549     0.06710     0.00557     0.06153     0.00000
       35.33314      140.14679     0.03880     0.02017     0.01863     0.00000
       36.69246      140.15769     0.07730    -0.02836     0.10566     0.00000
       39.16421      140.16198    -0.47970     0.01649    -0.49619     0.00000
       36.95231      140.16476     0.04080    -0.03652     0.07732     0.00000
       36.26327      140.17426     0.10180     0.00104     0.10076     0.00000
       36.54222      140.17931     0.04000    -0.07250     0.11250     0.00000
       38.93810      140.18347    -0.46770     0.01964    -0.48734     0.00000
       35.54414      140.18656     0.00250    -0.02836     0.03086     0.00000
       38.28898      140.19992    -0.28630     0.04037    -0.32667     0.00000
       36.03134      140.20244     0.08040     0.00193     0.07847     0.00000
       37.61595      140.20565    -0.03820     0.04687    -0.08507     0.00000
       37.29304      140.21275     0.00310    -0.00429     0.00739     0.00000
       38.62841      140.22051    -0.39920     0.04306    -0.44226     0.00000
       42.78643      140.23320    -0.05590     0.04649    -0.10239     0.00000
       39.65831      140.23421    -0.43690     0.05650    -0.49340     0.00000
       35.28838      140.24916     0.00160    -0.01080     0.01240     0.00000
       42.24368      140.25048    -0.08470     0.05073    -0.13543     0.00000
       37.12629      140.25993     0.01500    -0.03115     0.04615     0.00000
       40.27116      140.26366    -0.32870     0.06672    -0.39542     0.00000
       35.16590      140.26802     0.03010     0.02398     0.00612     0.00000
       38.14810      140.27114    -0.25240     0.04275    -0.29515     0.00000
       40.77898      140.27298    -0.22710     0.07807    -0.30517     0.00000
       39.29674      140.27893    -0.50960     0.03329    -0.54289     0.00000
       36.65057      140.29342     0.05460    -0.06339     0.11799     0.00000
