       latitude      longitude observation     resiual  prediction  correction
       34.91734      137.15239    -0.01020     0.00060    -0.01080     0.00000
       36.75795      137.15447     0.00700    -0.00683     0.01383     0.00000
       35.61209      137.17414     0.01830     0.02226    -0.00396     0.00000
       36.63434      137.19520     0.00130    -0.01026     0.01156     0.00000
       35.91163      137.20067    -0.00520    -0.00504    -0.00016     0.00000
       36.47280      137.23922    -0.02120    -0.02977     0.00857     0.00000
       35.80048      137.24837    -0.00270    -0.00062    -0.00208     0.00000
       35.30055      137.25232    -0.00300     0.00519    -0.00819     0.00000
       35.13875      137.25356    -0.01110    -0.00130    -0.00980     0.00000
       37.44603      137.27005     0.00420    -0.02199     0.02619     0.00000
       34.64866      137.27784    -0.00290     0.01095    -0.01385     0.00000
       34.91975      137.29994    -0.02310    -0.01096    -0.01214     0.00000
       35.52313      137.30909     0.00120     0.00739    -0.00619     0.00000
       35.03946      137.31316     0.01850     0.02977    -0.01127     0.00000
       34.78591      137.33877    -0.00270     0.01082    -0.01352     0.00000
       36.13599      137.34791    -0.01700    -0.01925     0.00225     0.00000
       36.28564      137.36302    -0.00270    -0.00738     0.00468     0.00000
       36.73696      137.36951     0.00010    -0.01282     0.01292     0.00000
       35.26197      137.40561    -0.02500    -0.01495    -0.01005     0.00000
       34.96748      137.42313    -0.00710     0.00587    -0.01297     0.00000
       35.65719      137.42477    -0.01560    -0.01006    -0.00554     0.00000
       34.86482      137.43400     0.00400     0.01789    -0.01389     0.00000
       36.57871      137.43990     0.00420    -0.00541     0.00961     0.00000
       34.68038      137.44245     0.01770     0.03296    -0.01526     0.00000
       35.81555      137.45088    -0.01380    -0.01024    -0.00356     0.00000
       35.39676      137.46757     0.00830     0.01750    -0.00920     0.00000
       36.92896      137.48723     0.01870     0.00228     0.01642     0.00000
       34.71805      137.51493    -0.02240    -0.00663    -0.01577     0.00000
       35.57509      137.52878    -0.04560    -0.03795    -0.00765     0.00000
       35.97346      137.53487     0.00450     0.00638    -0.00188     0.00000
       36.86434      137.55133     0.01390    -0.00103     0.01493     0.00000
       34.80873      137.55434     0.00290     0.01848    -0.01558     0.00000
       35.10002      137.57533    -0.02700    -0.01356    -0.01344     0.00000
       34.93768      137.57549     0.01850     0.03334    -0.01484     0.00000
       35.24700      137.58767    -0.00180     0.01033    -0.01213     0.00000
       35.88000      137.59827    -0.00520    -0.00122    -0.00398     0.00000
       35.66123      137.62016     0.01090     0.01835    -0.00745     0.00000
       34.70212      137.63688     0.04780     0.06500    -0.01720     0.00000
       34.83533      137.67234     0.01650     0.03321    -0.01671     0.00000
       35.34373      137.67640     0.00220     0.01430    -0.01210     0.00000
       34.75204      137.68078     0.01300     0.03038    -0.01738     0.00000
       36.08466      137.68263    -0.00750    -0.00612    -0.00138     0.00000
       35.07929      137.69524     0.01610     0.03111    -0.01501     0.00000
       35.78362      137.69626     0.00820     0.01469    -0.00649     0.00000
       34.67231      137.72338    -0.00250     0.01587    -0.01837     0.00000
       35.94460      137.78544    -0.00340     0.00149    -0.00489     0.00000
       34.79284      137.79179     0.04210     0.06053    -0.01843     0.00000
       35.77753      137.81448     0.04250     0.05046    -0.00796     0.00000
       35.52109      137.81524    -0.01630    -0.00467    -0.01163     0.00000
       34.94134      137.81794     0.00910     0.02678    -0.01768     0.00000
       34.67188      137.82342     0.04110     0.06067    -0.01957     0.00000
       36.49977      137.85112    -0.00500    -0.01034     0.00534     0.00000
       35.16045      137.86876    -0.00730     0.00913    -0.01643     0.00000
       36.22837      137.87175     0.02560     0.02618    -0.00058     0.00000
       36.70647      137.87233     0.00940    -0.00048     0.00988     0.00000
