       latitude      longitude observation     resiual  prediction  correction
       35.61209      137.17414     0.09330    -0.05123     0.14453     0.00000
       36.63434      137.19520     0.15980    -0.06960     0.22940     0.00000
       35.91163      137.20067     0.12020    -0.04809     0.16829     0.00000
       36.47280      137.23922     0.16220    -0.05577     0.21797     0.00000
       35.80048      137.24837     0.09540    -0.06554     0.16094     0.00000
       35.30055      137.25232     0.07010    -0.05413     0.12423     0.00000
       35.13875      137.25356     0.06340    -0.05037     0.11377     0.00000
       37.44603      137.27005     0.21730    -0.08454     0.30184     0.00000
       34.64866      137.27784     0.04490    -0.04162     0.08652     0.00000
       34.91975      137.29994     0.05510    -0.04599     0.10109     0.00000
       35.52313      137.30909     0.08920    -0.05184     0.14104     0.00000
       35.03946      137.31316     0.05240    -0.05586     0.10826     0.00000
       34.78591      137.33877     0.05410    -0.03977     0.09387     0.00000
       36.13599      137.34791     0.12170    -0.07161     0.19331     0.00000
       36.28564      137.36302     0.14550    -0.06233     0.20783     0.00000
       36.73696      137.36951     0.17800    -0.07303     0.25103     0.00000
       35.26197      137.40561     0.07260    -0.05125     0.12385     0.00000
       34.96748      137.42313     0.06110    -0.04370     0.10480     0.00000
       35.65719      137.42477     0.10010    -0.05423     0.15433     0.00000
       34.86482      137.43400     0.05110    -0.04767     0.09877     0.00000
       36.57871      137.43990     0.16710    -0.07372     0.24082     0.00000
       34.68038      137.44245     0.03890    -0.04972     0.08862     0.00000
       35.81555      137.45088     0.11550    -0.05309     0.16859     0.00000
       35.39676      137.46757     0.07760    -0.05703     0.13463     0.00000
       36.92896      137.48723     0.19990    -0.07955     0.27945     0.00000
       34.71805      137.51493     0.04380    -0.04703     0.09083     0.00000
       35.57509      137.52878     0.08310    -0.06699     0.15009     0.00000
       35.97346      137.53487     0.12050    -0.06562     0.18612     0.00000
       36.86434      137.55133     0.20150    -0.07727     0.27877     0.00000
       34.80873      137.55434     0.04480    -0.05128     0.09608     0.00000
       35.10002      137.57533     0.06720    -0.04744     0.11464     0.00000
       34.93768      137.57549     0.05400    -0.04998     0.10398     0.00000
       35.24700      137.58767     0.07030    -0.05494     0.12524     0.00000
       35.88000      137.59827     0.12020    -0.05935     0.17955     0.00000
       35.66123      137.62016     0.09550    -0.06434     0.15984     0.00000
       34.70212      137.63688     0.02800    -0.06221     0.09021     0.00000
       34.83533      137.67234     0.05520    -0.04289     0.09809     0.00000
       35.34373      137.67640     0.05920    -0.07475     0.13395     0.00000
       34.75204      137.68078     0.04220    -0.05095     0.09315     0.00000
       36.08466      137.68263     0.13390    -0.06986     0.20376     0.00000
       35.07929      137.69524     0.06570    -0.04855     0.11425     0.00000
       35.78362      137.69626     0.11640    -0.05714     0.17354     0.00000
       34.67231      137.72338     0.05550    -0.03314     0.08864     0.00000
       35.94460      137.78544     0.12370    -0.06957     0.19327     0.00000
       34.79284      137.79179     0.04630    -0.04950     0.09580     0.00000
       35.77753      137.81448     0.10800    -0.06873     0.17673     0.00000
       35.52109      137.81524     0.09090    -0.06081     0.15171     0.00000
       34.94134      137.81794     0.04410    -0.06137     0.10547     0.00000
       34.67188      137.82342     0.04020    -0.04843     0.08863     0.00000
       36.49977      137.85112     0.18070    -0.08162     0.26232     0.00000
       35.16045      137.86876     0.06840    -0.05335     0.12175     0.00000
       36.22837      137.87175     0.15530    -0.07480     0.23010     0.00000
       36.70647      137.87233     0.20490    -0.08541     0.29031     0.00000
       37.04517      137.87385     0.26070    -0.07214     0.33284     0.00000
       36.95087      137.89387     0.23700    -0.08656     0.32356     0.00000
       36.32237      137.90282     0.16920    -0.07449     0.24369     0.00000
       34.75539      137.91128     0.04950    -0.04411     0.09361     0.00000
       35.31714      137.92527     0.08360    -0.05169     0.13529     0.00000
       34.84386      137.93215     0.05840    -0.04088     0.09928     0.00000
       34.67042      137.93744     0.03270    -0.05575     0.08845     0.00000
       35.92358      137.94381     0.12970    -0.06765     0.19735     0.00000
       34.90205      137.94681     0.05140    -0.05182     0.10322     0.00000
       35.03152      137.98042     0.06410    -0.04854     0.11264     0.00000
       36.12111      137.98301     0.15510    -0.06797     0.22307     0.00000
       35.72629      137.98389     0.11560    -0.06095     0.17655     0.00000
       36.23903      137.98455     0.16940    -0.06885     0.23825     0.00000
       34.78595      138.01753     0.05100    -0.04454     0.09554     0.00000
       35.55613      138.03832     0.08900    -0.07088     0.15988     0.00000
       34.66641      138.04652     0.04850    -0.03951     0.08801     0.00000
       34.71525      138.05354     0.04540    -0.04560     0.09100     0.00000
       34.93980      138.07486     0.06320    -0.04296     0.10616     0.00000
       35.04488      138.08168     0.06540    -0.04871     0.11411     0.00000
       35.87842      138.09571     0.12050    -0.07748     0.19798     0.00000
       36.70665      138.09673     0.24240    -0.07026     0.31266     0.00000
       34.67992      138.09829     0.05310    -0.03561     0.08871     0.00000
       37.16079      138.10019     0.29540    -0.08247     0.37787     0.00000
       36.52360      138.12095     0.21250    -0.07553     0.28803     0.00000
       34.64290      138.12929     0.04570    -0.04065     0.08635     0.00000
       35.10391      138.13490     0.07220    -0.04689     0.11909     0.00000
       34.75776      138.13692     0.05010    -0.04346     0.09356     0.00000
       34.63454      138.15904     0.04060    -0.04513     0.08573     0.00000
       34.84941      138.17674     0.04270    -0.05703     0.09973     0.00000
       34.67775      138.18296     0.03870    -0.04960     0.08830     0.00000
       35.32207      138.18578     0.09670    -0.04223     0.13893     0.00000
       36.86540      138.19867     0.27190    -0.07651     0.34841     0.00000
       35.06697      138.20998     0.06480    -0.05156     0.11636     0.00000
       36.02616      138.21448     0.14800    -0.07446     0.22246     0.00000
       34.60315      138.21525     0.04040    -0.04320     0.08360     0.00000
       36.20847      138.21649     0.17930    -0.06934     0.24864     0.00000
       34.73831      138.22560     0.05040    -0.04164     0.09204     0.00000
       37.05668      138.24259     0.29240    -0.09166     0.38406     0.00000
       36.66515      138.24747     0.25440    -0.06803     0.32243     0.00000
       34.95435      138.24990     0.07060    -0.03684     0.10744     0.00000
       35.20098      138.25351     0.06610    -0.06208     0.12818     0.00000
       37.81590      138.27307     0.38030    -0.10613     0.48643     0.00000
       35.85598      138.31640     0.14570    -0.05781     0.20351     0.00000
       36.38618      138.32252     0.21700    -0.06707     0.28407     0.00000
       34.83617      138.33122     0.04530    -0.05317     0.09847     0.00000
       37.23112      138.33357     0.35150    -0.07431     0.42581     0.00000
       36.13311      138.36204     0.17770    -0.06855     0.24625     0.00000
       36.26099      138.36604     0.20830    -0.05866     0.26696     0.00000
       35.10346      138.36870     0.07110    -0.04881     0.11991     0.00000
       38.02369      138.36988     0.40540    -0.11958     0.52498     0.00000
       34.99052      138.37830     0.05640    -0.05389     0.11029     0.00000
       36.80171      138.43617     0.29540    -0.07365     0.36905     0.00000
       35.90493      138.44421     0.13710    -0.07843     0.21553     0.00000
       35.44358      138.44525     0.10520    -0.04962     0.15482     0.00000
       35.28946      138.44570     0.08640    -0.05166     0.13806     0.00000
       35.67369      138.45682     0.13220    -0.05123     0.18343     0.00000
       37.10708      138.45736     0.35170    -0.07573     0.42743     0.00000
       36.13064      138.46097     0.17180    -0.08006     0.25186     0.00000
       38.06328      138.47168     0.43800    -0.11513     0.55313     0.00000
       36.28471      138.49928     0.21430    -0.06672     0.28102     0.00000
       38.31935      138.51309     0.46790    -0.10671     0.57461     0.00000
       34.98650      138.51568     0.06430    -0.04542     0.10972     0.00000
       37.34854      138.51637     0.39160    -0.08861     0.48021     0.00000
       35.06741      138.52471     0.06950    -0.04728     0.11678     0.00000
       36.50800      138.55271     0.25750    -0.07013     0.32763     0.00000
       35.36208      138.56343     0.08020    -0.06660     0.14680     0.00000
       37.39768      138.57440     0.40080    -0.10038     0.50118     0.00000
       35.97415      138.58303     0.16740    -0.06518     0.23258     0.00000
       35.59034      138.58330     0.11900    -0.05616     0.17516     0.00000
       36.61632      138.59145     0.28430    -0.06931     0.35361     0.00000
       35.46769      138.60687     0.08940    -0.07036     0.15976     0.00000
       37.07913      138.60872     0.36910    -0.08108     0.45018     0.00000
       35.11715      138.60997     0.05970    -0.06162     0.12132     0.00000
       35.20318      138.61699     0.07230    -0.05757     0.12987     0.00000
       36.85669      138.62425     0.34210    -0.06565     0.40775     0.00000
       37.21211      138.63460     0.40980    -0.07151     0.48131     0.00000
       36.34601      138.63780     0.23060    -0.07354     0.30414     0.00000
       35.64952      138.69038     0.13120    -0.05436     0.18556     0.00000
       35.74687      138.69513     0.14730    -0.05299     0.20029     0.00000
       37.53583      138.70694     0.45830    -0.09869     0.55699     0.00000
       35.17359      138.72154     0.08660    -0.04021     0.12681     0.00000
